from_loc,to_loc,amount,country,from_pop,from_x,from_y,to_pop,to_x,to_y,euc_dist,predict_ipums,predict_ipums_country,predict_civ,predict_kenya,predict_sen
13,25,384,SLE,538271.4597,-10.9485998,8.6857595,472176.2751,-11.8753004,8.6617603,0.927011307,386.4379482,190.149579,2675.478832,101446.4311,4616.148805
13,31,273,SLE,538271.4597,-10.9485998,8.6857595,641236.4017,-11.7143002,7.95329,1.059626666,477.3419618,429.9231857,2773.134226,112022.3393,4195.059827
13,32,8,SLE,538271.4597,-10.9485998,8.6857595,191754.4736,-12.2756004,7.5009198,1.778981649,76.71425798,10.07726117,489.6207736,8913.567758,953.4097125
13,33,66,SLE,538271.4597,-10.9485998,8.6857595,352832.0699,-12.4265003,8.05931,1.605188109,166.0543048,61.85458754,922.8637172,23123.18861,1519.131697
13,34,27,SLE,538271.4597,-10.9485998,8.6857595,316360.3377,-11.5670996,7.29498,1.522106967,154.8114639,46.37436377,918.7774018,22571.57462,1587.21165
13,41,331,SLE,538271.4597,-10.9485998,8.6857595,540326.047,-13.0862999,8.3221998,2.168395115,199.8372764,181.661249,814.7618993,20998.6803,1084.653881
13,42,1651,SLE,538271.4597,-10.9485998,8.6857595,775375.9439,-13.2444,8.4532099,2.307548022,280.83841,499.6210395,983.2123798,28707.24159,1148.365889
21,11,29,SLE,550436.786,-12.1657,9.31141,472521.038,-10.6969995,8.0851002,1.913352264,199.0551674,136.4731031,904.9194798,23675.19052,1286.514666
21,12,362,SLE,550436.786,-12.1657,9.31141,690510.5587,-11.2013998,7.9244599,1.689232209,340.9322294,435.2859541,1472.227164,48499.74473,1914.669944
21,13,592,SLE,550436.786,-12.1657,9.31141,538271.4597,-10.9485998,8.6857595,1.368492399,316.2620018,236.0865022,1669.631167,55098.1331,2480.105863
21,22,105,SLE,550436.786,-12.1657,9.31141,362084.2954,-12.8070002,9.18221,0.654185437,411.7227692,109.5755924,3768.330548,153974.1868,7663.926136
21,23,79,SLE,550436.786,-12.1657,9.31141,358521.7854,-11.3449001,9.45222,0.832790449,323.6705701,94.10566387,2588.737614,92820.04221,4966.649595
21,24,375,SLE,550436.786,-12.1657,9.31141,612546.8019,-12.7334995,8.7240896,0.816909741,596.1295679,446.7133418,4054.076284,185415.7956,6590.523165
21,25,409,SLE,550436.786,-12.1657,9.31141,472176.2751,-11.8753004,8.6617603,0.711601476,509.7480479,226.0101008,4080.644499,179111.0051,7464.720016
21,31,314,SLE,550436.786,-12.1657,9.31141,641236.4017,-11.7143002,7.95329,1.431171448,367.8028072,382.603792,1788.49658,62220.66877,2484.154554
