FID,the_geom,OBJECTID,ECF_Code,ECF_Name,Status,Type,AdminCode,Beds_Open,Beds_Plan,Open_Date,Partner,Lead_Donor,Latitude,Longitude,Accuracy,Updated,LabPresent,Country,Comment
gin_heal_pt_unmeer_ebolacarefacilities.1,POINT (-9.46558200499993 8.518240000000048),0,GIN_0011,Macenta,Open,ETU,GIN00800308,70,70,2014-12-05T00:00:00,FRENCH RED CROSS,,8.541,-9.471,WHO - GPS,2014-12-15T00:00:00,Yes,Guinea,
gin_heal_pt_unmeer_ebolacarefacilities.2,POINT (-10.120963604999929 8.552846000000045),1,GIN_0010,Gueckedou,Open,ETU,GIN00800603,100,100,2014-06-05T00:00:00,MSF,,8.562,-10.133,WHO - GPS,2014-12-15T00:00:00,Yes,Guinea,
gin_heal_pt_unmeer_ebolacarefacilities.3,POINT (-13.68319299999996 9.535421000000042),2,GIN_0001,Conakry Donka Hospital,Open,ETU,GIN00200101,70,70,2014-06-20T00:00:00,MSF,,9.535,-13.683,WHO - GPS,2014-12-15T00:00:00,Yes,Guinea,
gin_heal_pt_unmeer_ebolacarefacilities.4,POINT (-13.420806149999976 9.730112226000074),3,GIN_0003,Coyah,Under Construction,ETU,GIN00500103,0,70,2014-12-01T00:00:00,Cuba?,,9.73,-13.421,Needs location verified,2014-12-15T00:00:00,No,Guinea,
gin_heal_pt_unmeer_ebolacarefacilities.5,POINT (-8.648371163999968 8.689988011000025),4,GIN_0009,Beyla,Under Construction,ETU,GIN00800101,0,70,2014-12-17T00:00:00,WAHA,,8.69,-8.648,Needs location verified,2014-12-15T00:00:00,No,Guinea,
gin_heal_pt_unmeer_ebolacarefacilities.6,POINT (-8.819621349999977 7.755827287000045),5,GIN_0007,Nzerekore,Open,ETU,GIN00400203,0,70,2014-12-01T00:00:00,ALIMA,,7.756,-8.82,Needs location verified,2014-12-15T00:00:00,No,Guinea,
gin_heal_pt_unmeer_ebolacarefacilities.7,POINT (-9.00967686 9.271138659999998),6,GIN_0054,Kerouane,Under Construction,ETU,GIN00400203,0,50,2014-12-17T00:00:00,French Red Cross,,9.2741,-9.00326,Approximate,2014-12-15T00:00:00,No,Guinea,
gin_heal_pt_unmeer_ebolacarefacilities.8,POINT (-13.420806149999919 9.730112226000188),7,GIN_0058,Wonkifong,Under Construction,ETU,GIN005001,0,70,2014-12-22T00:00:00,,,9.730112,-13.42081,WHO supplied,2014-12-15T00:00:00,No,Guinea,
gin_heal_pt_unmeer_ebolacarefacilities.9,POINT (-9.305 10.383),8,GIN_0059,Kankan,Under Construction,ETU,GN001004,0,0,,MSF,,10.383,-9.305,Needs location supplied,2014-12-15T00:00:00,No,Guinea,"No name, location or bed numbers provided"
