VALUE,COUNT,COUNTRY,ADMIN1,POP2013,TOT_0_4,TOT_5_9,TOT_10_14,TOT_15_19,TOT_20_24,TOT_25_29,TOT_30_34,TOT_35_39,TOT_40_44,TOT_45_49,TOT_50_54,TOT_55_59,TOT_60_64,TOT_65_69,TOT_70_74,TOT_75_79,TOT_80PLUS,MALE,MAL_0_4,MAL_5_9,MAL_10_14,MAL_15_19,MAL_20_24,MAL_25_29,MAL_30_34,MAL_35_39,MAL_40_44,MAL_45_49,MAL_50_54,MAL_55_59,MAL_60_64,MAL_65_69,MAL_70_74,MAL_75_79,MAL_80PLUS,FEMALE,FEM_0_4,FEM_5_9,FEM_10_14,FEM_15_19,FEM_20_24,FEM_25_29,FEM_30_34,FEM_35_39,FEM_40_44,FEM_45_49,FEM_50_54,FEM_55_59,FEM_60_64,FEM_65_69,FEM_70_74,FEM_75_79,FEM_80PLUS
"1,512","5,603",Liberia,Grand Cape Mount,"147,571",0.13759704,0.149187865,0.132483306,0.100041633,0.087075257,0.082691923,0.070189449,0.055491349,0.044837712,0.036841664,0.030663011,0.025395779,0.020292744,0.015182281,0.010204592,0.006050728,0.003411356,0.502879521,0.068670252,0.074454859,0.066118151,0.049927557,0.043456457,0.041268876,0.035029294,0.027693946,0.022377058,0.018386488,0.015302922,0.012674215,0.010127455,0.007576987,0.005092783,0.003019723,0.001702498,0.504758169,0.068926789,0.074733006,0.066365155,0.050114076,0.043618801,0.041423047,0.035160155,0.027797404,0.022460654,0.018455176,0.01536009,0.012721563,0.010165289,0.007605294,0.005111809,0.003031004,0.001708858
"1,513","12,693",Liberia,Grand Gedeh,"144,246",0.137568989,0.149169838,0.132487879,0.100042416,0.087068356,0.082684238,0.070196455,0.055497116,0.04484848,0.03682958,0.030661413,0.025410984,0.02029618,0.015178269,0.010244018,0.006061079,0.003394893,0.502873976,0.068655323,0.074444856,0.066119542,0.049927275,0.043452426,0.041264483,0.035032318,0.027696448,0.022382129,0.018380209,0.015301919,0.012681634,0.010129034,0.007574883,0.00511239,0.003024849,0.001694258,0.504766208,0.068913666,0.074724982,0.066368337,0.050115141,0.04361593,0.041419755,0.035164137,0.027800668,0.022466352,0.018449371,0.015359494,0.01272935,0.010167147,0.007603386,0.005131628,0.00303623,0.001700635
"1,514","4,561",Liberia,Grand Kru,"65,296",0.137579482,0.149177273,0.132489369,0.100050035,0.087082672,0.082682825,0.070194819,0.055504089,0.04485805,0.036824221,0.030646068,0.025391078,0.020295877,0.015175717,0.010242815,0.00606768,0.003383075,0.502828716,0.068654051,0.07444152,0.066114011,0.049926287,0.043455415,0.041259859,0.035028161,0.027697278,0.022384781,0.018375821,0.015292835,0.012670492,0.010127922,0.007572878,0.005111293,0.003027886,0.001688228,0.504816428,0.068925431,0.074735753,0.066375358,0.050123748,0.043627257,0.041422966,0.035166658,0.027806812,0.022473269,0.0184484,0.015353233,0.012720585,0.010167956,0.007602839,0.005131522,0.003039794,0.001694847
"1,515","11,679",Liberia,Lofa,"308,871",0.137567094,0.149173281,0.132483902,0.100042902,0.087073495,0.082682489,0.07019354,0.0555013,0.044852492,0.036829631,0.030656148,0.025405179,0.020298701,0.015176918,0.010244756,0.00606409,0.003394597,0.502865166,0.068653154,0.074445247,0.066116376,0.049926625,0.043454215,0.041262874,0.035030237,0.027698043,0.022383733,0.018379906,0.015299016,0.012678509,0.01013011,0.007574074,0.005112668,0.003026297,0.001694081,0.50477535,0.06891394,0.074728034,0.066367526,0.050116276,0.04361928,0.041419615,0.035163303,0.027803257,0.022468759,0.018449725,0.015357132,0.01272667,0.010168591,0.007602844,0.005132088,0.003037793,0.001700516
"1,516","3,100",Liberia,Margibi,"228,344",0.13756945,0.149169583,0.132483903,0.10004084,0.087070719,0.082684634,0.070191444,0.055497626,0.044847186,0.036828433,0.030659928,0.025411014,0.020299539,0.015177532,0.010242942,0.006065515,0.003399201,0.502862395,0.068654022,0.074443067,0.06611608,0.049925373,0.043452634,0.041263759,0.035029034,0.027696085,0.022380984,0.018379226,0.015300834,0.012681364,0.010130483,0.007574346,0.005111739,0.003026995,0.001696371,0.504777096,0.068915428,0.074726516,0.066367823,0.050115467,0.043618085,0.041420876,0.03516241,0.027801541,0.022466202,0.018449207,0.015359094,0.01272965,0.010169056,0.007603186,0.005131203,0.003038521,0.00170283
"1,517","2,615",Liberia,Maryland,"155,975",0.137571218,0.149171716,0.1324866,0.100045857,0.087074994,0.082683695,0.070196254,0.055503887,0.044850053,0.036827601,0.030651822,0.02540186,0.020293267,0.015173175,0.01024776,0.006068904,0.003392838,0.502863977,0.068654983,0.074444217,0.066117501,0.049927933,0.043454818,0.041263338,0.035031474,0.027699241,0.02238244,0.018378832,0.015296807,0.012676811,0.010127365,0.00757218,0.005114149,0.00302869,0.001693198,0.504777522,0.068916235,0.074727499,0.066369099,0.050117923,0.043620176,0.041420356,0.03516478,0.027804646,0.022467613,0.018448769,0.015355015,0.012725049,0.010165901,0.007600995,0.005133611,0.003040215,0.00169964
"1,518","2,261",Liberia,Montserrado,"1,309,069",0.137568171,0.149171142,0.132484484,0.100045014,0.087073604,0.082684237,0.070194802,0.055500661,0.044850814,0.036829338,0.030656709,0.025405274,0.02029812,0.015176841,0.010243304,0.006063304,0.003394768,0.50286322,0.068653421,0.074443885,0.066116406,0.049927482,0.043454098,0.041263584,0.035030729,0.027697615,0.022382807,0.018379688,0.015299237,0.012678507,0.010129781,0.007574005,0.005111923,0.003025893,0.00169416,0.504777368,0.06891475,0.074727257,0.066368078,0.050117532,0.043619506,0.041420654,0.035164073,0.027803046,0.022468007,0.01844965,0.015357473,0.012726768,0.01016834,0.007602835,0.005131381,0.003037411,0.001700608
"1,519","13,530",Liberia,Nimba,"535,258",0.137568756,0.149170625,0.132485447,0.10004369,0.087073033,0.08268435,0.070193947,0.055501016,0.044849771,0.036828765,0.030656055,0.02540555,0.020298428,0.015178666,0.010244701,0.006064355,0.003393757,0.502859915,0.06865324,0.074443114,0.066116431,0.049926478,0.043453513,0.041263356,0.035030061,0.027697602,0.022382132,0.018379275,0.015298804,0.012678557,0.010129865,0.007574864,0.005112584,0.003026396,0.001693644,0.504780998,0.068915516,0.074727511,0.066369016,0.050117212,0.043619519,0.041420994,0.035163887,0.027803415,0.022467639,0.018449491,0.015357251,0.012726993,0.010168564,0.007603803,0.005132117,0.003037959,0.001700113
"1,520","5,875",Liberia,River Gee,"76,978",0.137568227,0.149179571,0.132496754,0.100052021,0.087074088,0.082677683,0.070188819,0.055510981,0.044850527,0.036825366,0.030661242,0.02541155,0.020292279,0.01517295,0.010246887,0.006053981,0.003380579,0.502869272,0.068654077,0.074448779,0.066123137,0.049931436,0.043454738,0.041260694,0.035028059,0.027703013,0.022382867,0.018377872,0.015301639,0.012681756,0.010126957,0.007572131,0.005113757,0.003021268,0.001687094,0.504774234,0.068914149,0.074730793,0.066373618,0.050120584,0.04361935,0.04141699,0.03516076,0.027807968,0.02246766,0.018447494,0.015359603,0.012729794,0.010165323,0.007600818,0.00513313,0.003032713,0.001693485
"1,521","6,572",Liberia,Rivercess,"75,312",0.137568242,0.149173123,0.13247373,0.100035581,0.087074499,0.082685947,0.070194624,0.055495765,0.044853165,0.036829407,0.030657077,0.025408025,0.020299144,0.01516645,0.010250777,0.006070586,0.003402496,0.502874015,0.068655063,0.074446618,0.066112578,0.049923935,0.043455565,0.041265407,0.035031466,0.027695822,0.022384505,0.018380154,0.015299781,0.01268018,0.010130529,0.00756899,0.005115769,0.003029596,0.001698057,0.504764624,0.068913179,0.074726505,0.066361152,0.050111646,0.043618934,0.041420541,0.035163158,0.027799943,0.02246866,0.018449254,0.015357296,0.012727846,0.010168615,0.007597459,0.005135008,0.00304099,0.001704438
"1,522","11,335",Liberia,Sinoe,"119,988",0.137568602,0.149169081,0.132483017,0.100043582,0.08707311,0.082682701,0.070194238,0.055497493,0.044850792,0.036827465,0.030652359,0.025405269,0.020302543,0.015180113,0.010246893,0.006068786,0.003394797,0.502853729,0.068652326,0.074441433,0.066114407,0.049925818,0.043453022,0.041262026,0.035029771,0.027695498,0.022382362,0.018378404,0.015296774,0.012678263,0.010131793,0.007575497,0.005113619,0.00302857,0.001694145,0.504787112,0.068916277,0.074727648,0.06636861,0.050117764,0.043620088,0.041420675,0.035164467,0.027801994,0.02246843,0.018449061,0.015355585,0.012727006,0.01017075,0.007604617,0.005133274,0.003040215,0.001700652
